,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,Port Elizabeth,ZA,1601529996,-33.92,25.57,75,87,59.0,11.41
1,Bethel,US,1601530283,41.37,-73.41,1,63,60.8,9.17
2,Bluff,NZ,1601530284,-46.6,168.33,84,56,60.01,4.0
3,Saldanha,ZA,1601530286,-33.01,17.94,7,71,51.8,14.99
4,Pokhara,NP,1601530287,28.23,83.98,3,62,82.0,5.79
5,Richards Bay,ZA,1601530225,-28.78,32.04,0,67,73.22,10.45
6,Mataura,NZ,1601530291,-46.19,168.86,85,56,60.01,4.0
7,Stade,DE,1601530292,53.6,9.48,19,93,53.01,3.36
8,Punta Arenas,CL,1601530294,-53.15,-70.92,20,86,28.4,12.75
9,Rikitea,PF,1601530296,-23.12,-134.97,73,81,72.95,25.48
10,Hobart,AU,1601530181,-42.88,147.33,75,33,60.01,12.75
11,Ol'ga,RU,1601530298,43.74,135.29,53,64,59.94,11.7
12,Teya,RU,1601530300,60.38,92.63,94,83,35.82,4.12
13,Kavieng,PG,1601529779,-2.57,150.8,93,70,84.47,4.81
14,Ushuaia,AR,1601530303,-54.8,-68.3,90,100,28.4,21.92
15,Rome,US,1601530305,43.21,-75.46,90,76,55.4,10.51
16,San Gabriel,US,1601530062,34.1,-118.11,1,50,88.0,2.24
17,Arraial do Cabo,BR,1601530309,-22.97,-42.03,79,91,72.82,22.3
18,Uray,RU,1601530311,60.12,64.78,0,66,54.0,6.17
19,Burnie,AU,1601530287,-41.07,145.92,81,46,57.99,11.99
20,Albany,US,1601530209,42.6,-73.97,0,64,55.0,7.76
21,Hūn,LY,1601530315,29.13,15.95,0,67,71.22,7.43
22,Fortuna,US,1601530316,40.6,-124.16,75,100,55.99,3.36
23,Abu Samrah,SY,1601530318,35.3,37.18,2,60,75.96,13.24
24,Dire Dawa,ET,1601530319,9.59,41.87,100,45,78.13,2.01
25,Dikson,RU,1601530321,73.51,80.55,100,95,40.6,16.69
26,Vaini,TO,1601530322,-21.2,-175.2,75,94,73.4,8.05
27,East London,ZA,1601530188,-33.02,27.91,40,87,57.2,11.41
28,Hilo,US,1601530210,19.73,-155.09,1,78,78.8,3.36
29,San Quintín,MX,1601529753,30.48,-115.95,0,39,79.54,5.86
30,Hirara,JP,1601529838,24.8,125.28,20,65,84.2,16.11
31,Khargupur,IN,1601530330,27.38,81.98,13,46,88.66,2.8
32,Kapaa,US,1601530332,22.08,-159.32,1,69,80.6,4.7
33,Varangaon,IN,1601530227,21.02,75.9,29,61,86.67,8.12
34,Sakaiminato,JP,1601530334,35.55,133.23,20,57,75.2,9.17
35,Hermanus,ZA,1601530336,-34.42,19.23,100,74,54.03,24.45
36,Raja,SS,1601530337,8.46,25.68,95,84,74.19,1.43
37,Husavik,IS,1601530339,66.04,-17.34,75,79,39.2,8.05
38,Fairbanks,US,1601530340,64.84,-147.72,1,47,55.4,4.7
39,Ponta do Sol,PT,1601530084,32.67,-17.1,75,82,68.0,11.41
40,Dunedin,NZ,1601529685,-45.87,170.5,74,76,51.01,11.99
41,Busselton,AU,1601530345,-33.65,115.33,86,85,62.01,4.0
42,Pangnirtung,CA,1601529934,66.15,-65.71,0,86,25.05,7.67
43,Tiksi,RU,1601530349,71.69,128.87,57,94,26.78,20.98
44,Provideniya,RU,1601530351,64.38,-173.3,44,70,42.8,8.95
45,Cape Town,ZA,1601530152,-33.93,18.42,75,66,55.99,21.92
46,Tarnogskiy Gorodok,RU,1601530357,60.5,43.58,100,80,51.28,6.22
47,Tuktoyaktuk,CA,1601530359,69.45,-133.04,90,93,35.6,20.8
48,Puxinanã,BR,1601530360,-7.16,-35.96,31,98,64.24,12.01
49,Halmstad,SE,1601530362,56.67,12.86,75,87,50.0,3.36
50,George Town,MY,1601530297,5.41,100.34,20,62,89.6,8.05
51,Haines Junction,CA,1601530365,60.75,-137.51,71,83,42.24,6.55
52,Zhuhai,CN,1601530115,22.28,113.57,20,74,88.0,14.99
53,Maningrida,AU,1601530368,-12.07,134.27,42,57,85.91,16.82
54,São Filipe,CV,1601530369,14.9,-24.5,1,79,79.36,8.61
55,Atuona,PF,1601530371,-9.8,-139.03,5,77,78.42,23.11
56,Cabo San Lucas,MX,1601530372,22.89,-109.91,7,79,81.0,1.01
57,Manitouwadge,CA,1601530374,49.12,-85.84,100,89,36.41,10.8
58,Alofi,NU,1601530375,-19.06,-169.92,70,88,78.8,5.82
59,Vigrestad,NO,1601530377,58.57,5.7,100,91,55.99,8.99
60,Kānkon,IN,1601530128,15.02,74.02,40,79,84.2,6.93
61,Bernalda,IT,1601530379,40.41,16.69,0,91,59.0,4.7
62,Butaritari,KI,1601530081,3.07,172.79,5,73,82.04,16.42
63,Botou,CN,1601530382,38.07,116.57,96,51,75.67,7.16
64,Qaanaaq,GL,1601530384,77.48,-69.36,0,76,11.03,7.67
65,Kaitangata,NZ,1601530163,-46.28,169.85,94,64,52.0,8.01
66,Nantucket,US,1601530264,41.28,-70.1,1,79,61.0,14.99
67,Florida,US,1601530388,28.75,-82.5,1,93,64.99,4.65
68,Sitka,US,1601530390,57.05,-135.33,75,87,55.4,5.82
69,Bengkulu,ID,1601530391,-3.8,102.27,65,76,83.68,9.42
70,Saint Paul Harbor,US,1601530106,57.79,-152.41,90,87,51.8,13.87
71,Chon Daen,TH,1601530396,16.19,100.86,54,63,91.99,4.21
72,Khovd,MN,1601530398,48.01,91.64,100,54,44.08,4.94
73,Naze,JP,1601530400,28.37,129.48,20,65,82.4,16.11
74,Tasiilaq,GL,1601530402,65.61,-37.64,52,55,37.4,3.36
75,Mount Isa,AU,1601530404,-20.73,139.5,53,12,95.0,8.05
76,Airai,TL,1601530168,-8.93,125.41,56,43,79.25,7.54
77,Neiafu,TO,1601530194,-18.65,-173.98,75,94,78.8,6.93
78,Saskylakh,RU,1601530409,71.92,114.08,83,92,30.07,5.93
79,Zyryanka,RU,1601530410,65.75,150.85,0,55,43.32,2.24
80,Hithadhoo,MV,1601530412,-0.6,73.08,99,71,83.07,3.74
81,Along,IN,1601530338,28.17,94.77,25,45,92.48,2.13
82,Balasore,IN,1601530414,21.49,86.93,98,77,85.89,11.95
83,Peskovka,RU,1601530416,59.04,52.36,85,78,54.32,4.14
84,Lamu,KE,1601530418,-2.27,40.9,75,83,78.8,11.5
85,Te Anau,NZ,1601530419,-45.42,167.72,82,80,45.91,5.01
86,Olinda,BR,1601530161,-8.01,-34.86,20,74,78.8,9.17
87,Asău,RO,1601530422,46.43,26.4,100,93,48.99,2.42
88,Yellowknife,CA,1601530308,62.46,-114.35,75,86,39.2,8.05
89,Ciranjang,ID,1601530424,-6.79,107.28,8,42,93.54,5.75
90,Lagoa,PT,1601530426,39.05,-27.98,69,85,68.74,9.44
91,Tacna,PE,1601530429,-18.01,-70.25,86,81,61.0,1.99
92,Dīdwāna,IN,1601530430,27.4,74.57,0,22,96.8,14.38
93,Lebu,CL,1601530432,-37.62,-73.65,0,78,43.18,3.98
94,Sørland,NO,1601530433,67.67,12.69,20,93,53.6,12.75
95,Dingle,PH,1601530435,11.0,122.67,91,75,86.68,6.89
96,Puerto Ayora,EC,1601530436,-0.74,-90.35,88,93,66.0,5.01
97,Nago,JP,1601530438,26.59,127.98,75,78,80.6,9.17
98,Kaeo,NZ,1601530256,-35.1,173.78,68,63,60.01,3.0
99,Souillac,MU,1601530441,-20.52,57.52,20,73,75.2,6.93
100,Nikolskoye,RU,1601530443,59.7,30.79,60,93,45.0,6.71
101,Ribeira Grande,PT,1601530445,38.52,-28.7,51,80,68.85,8.19
102,Jamestown,US,1601530446,42.1,-79.24,90,81,60.01,14.99
103,Barrow,US,1601530202,71.29,-156.79,90,95,32.0,25.28
104,Saint-François,FR,1601530448,46.42,3.91,100,100,50.0,1.12
105,Chui,UY,1601530450,-33.7,-53.46,0,96,60.82,2.04
106,Coquimbo,CL,1601530224,-29.95,-71.34,0,81,51.8,3.36
107,Nianzishan,CN,1601530452,47.52,122.88,100,63,53.92,13.6
108,Bannu,PK,1601530178,32.99,70.6,0,15,88.84,2.21
109,Olean,US,1601530200,42.08,-78.43,90,100,52.0,5.82
110,Paracuru,BR,1601530364,-3.41,-39.03,30,73,79.0,14.0
111,Hobyo,SO,1601530458,5.35,48.53,93,66,81.72,13.13
112,Magugu,TZ,1601530461,-4.02,35.77,64,44,79.25,1.83
113,Isla Mujeres,MX,1601530464,21.23,-86.73,75,100,77.0,11.27
114,Luganville,VU,1601530466,-15.53,167.17,90,83,78.8,8.05
115,Port Alfred,ZA,1601530467,-33.59,26.89,94,74,60.69,14.03
116,New Norfolk,AU,1601530469,-42.78,147.06,75,46,59.0,5.01
117,Ningyang,CN,1601530470,35.76,116.79,7,49,79.52,12.21
118,Chimoré,BO,1601530472,-16.98,-65.13,19,61,75.85,1.7
119,Keti Bandar,PK,1601530474,24.14,67.45,4,66,85.84,12.1
120,Chicama,PE,1601530475,-7.84,-79.15,76,82,62.85,6.24
121,Monrovia,LR,1601530477,6.3,-10.8,100,91,75.24,6.64
122,Kizema,RU,1601530338,61.11,44.83,100,81,51.37,5.79
123,Lugovoy,KZ,1601530482,42.95,72.76,16,33,59.67,4.27
124,Longyearbyen,SJ,1601530483,78.22,15.64,75,91,35.6,3.36
125,Los Llanos de Aridane,ES,1601530485,28.66,-17.92,90,69,73.4,13.87
126,Shorāpur,IN,1601530486,16.52,76.75,85,63,83.21,9.1
127,Konotop,UA,1601530488,51.24,33.2,42,49,58.89,19.93
128,Khatanga,RU,1601530489,71.97,102.5,100,98,30.79,11.25
129,Mar del Plata,AR,1601530490,-38.0,-57.56,53,87,53.01,4.7
130,Ürümqi,CN,1601530328,43.8,87.6,3,28,55.4,6.71
131,Sur,OM,1601530493,22.57,59.53,0,41,89.96,6.31
132,Lorengau,PG,1601530495,-2.02,147.27,99,72,84.04,3.24
133,Chu,KZ,1601530497,43.6,73.76,38,70,57.0,5.99
134,Departamento de Maldonado,UY,1601530498,-34.67,-54.92,0,87,59.0,3.36
135,Caconda,AO,1601530500,-13.73,15.07,80,70,63.75,4.25
136,Carnarvon,AU,1601530502,-24.87,113.63,0,64,73.4,18.34
137,Gainesville,US,1601530504,29.65,-82.32,1,100,57.99,2.95
138,Castro,BR,1601530506,-24.79,-50.01,40,93,63.64,6.8
139,Tura,IN,1601530507,25.52,90.22,55,71,86.18,2.13
140,Upernavik,GL,1601530509,72.79,-56.15,33,88,22.69,5.79
141,Korla,CN,1601530510,41.76,86.15,100,25,62.22,7.09
142,Taihe,CN,1601530513,30.87,105.38,98,67,75.29,3.38
143,Ilulissat,GL,1601530515,69.22,-51.1,0,57,19.4,10.29
144,Novyy Rogachik,RU,1601530517,48.68,44.06,73,29,60.8,13.42
145,Carutapera,BR,1601530278,-1.2,-46.02,28,84,76.66,7.02
146,Wawa,NG,1601530520,9.9,4.42,95,97,70.48,4.56
147,Ahipara,NZ,1601530255,-35.17,173.17,49,70,55.92,4.0
148,Luanda,AO,1601530366,-8.84,13.23,75,83,73.4,8.05
149,Lüderitz,NA,1601529936,-26.65,15.16,14,74,53.04,11.54
